SMOTER_Config,Extreme_Percentile,Aug_Multiplier,Features,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfit,CV_R2_mean,CV_R2_std,Combined_Score
20% both tails,20,5,15,SVR,0.9009086325341538,0.8431682839933134,0.08352773887096884,0.1188893213842599,0.12117332048947359,0.14749399783885,0.057740348540840314,0.6007728360097024,0.348186270827775,0.8258461794310613
20% both tails,20,5,18,RF,0.9865162187972987,0.750102359963047,0.028686934921510438,0.10913847594436073,0.04469870555600118,0.18618233708982135,0.2364138588342517,0.7378970168183776,0.14292932696882885,0.6791782023127715
20% both tails,20,5,18,XGB,0.9998229654577347,0.750369515941141,0.0013788089457847286,0.09997173249721526,0.005121746794246544,0.18608279028101593,0.24945344951659376,0.7285929376382327,0.18429270199735656,0.6755334810861628
20% both tails,20,5,18,GBDT,0.9844826867224769,0.7466740119819113,0.03317817060976519,0.11802890896810621,0.04795096615884159,0.18745510526252038,0.23780867474056555,0.7696149120123481,0.15672187154489725,0.6753314095597416
20% both tails,20,5,18,LGBM,0.9806364068458819,0.7963459028739379,0.03203619164792682,0.11849235589773212,0.05356511882453695,0.16807533131016905,0.18429050397194402,0.7399137968316115,0.13076876224725537,0.7410587516823547
20% both tails,20,5,18,MLP,0.5318391258472155,0.5331908401215397,0.19591850397263816,0.19590122468232535,0.26338234239582864,0.25446443072789476,-0.0013517142743242339,0.07358797191884317,0.6204306883264822,0.5327853258392424
20% both tails,20,5,18,SVR,0.9485944836577812,0.648263240354046,0.06841075447621874,0.13935061049761682,0.08727582463023685,0.2208850278846988,0.3003312433037352,0.8256793151238874,0.10904094761737682,0.5581638673629254
20% both tails,20,5,20,RF,0.9863955623901153,0.7583246999707733,0.028538145682899994,0.10565612820748135,0.044898248025157246,0.18309375577403464,0.22807086241934194,0.7424864823022004,0.14525388470818942,0.6899034412449707
20% both tails,20,5,20,XGB,0.9998262569962834,0.7153538295402508,0.0012420622082549126,0.10665916323661803,0.005073910014829906,0.19870558448639272,0.2844724274560325,0.7261552128193867,0.18527005557953063,0.6300121013034411
20% both tails,20,5,20,GBDT,0.9847366043719206,0.7361217878899509,0.0325603939521518,0.11462872207717349,0.047557024984906104,0.1913194689033104,0.2486148164819697,0.7657938045004758,0.1660543781585504,0.6615373429453599
20% both tails,20,5,20,LGBM,0.9800545023570961,0.7777024987861942,0.03149767076015438,0.11790683019631741,0.054364016588121386,0.175600072404808,0.20235200357090188,0.732377927232353,0.1438864030785404,0.7169968977149237
20% both tails,20,5,20,MLP,0.959267270927545,0.5735845752216299,0.05130576737787749,0.14441390503949056,0.07768923631575572,0.24320575821744964,0.3856826957059152,0.6591455462545401,0.17951303582080091,0.4578797665098553
20% both tails,20,5,20,SVR,0.9485990987633613,0.6680785916774727,0.06740195326869339,0.13066445129060525,0.0872719067998683,0.2145729798416145,0.2805205070858886,0.8078177202046293,0.14068693832720297,0.5839224395517062
