Unit_Cell_Volume_Å3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Ce,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Y,Element_at_pct_A,Element_at_pct_B,Element_at_pct_Ni,Element_at_pct_Mo,Additive_Cu,Additive_Fe,Additive_Mo,Additive_Ni,Additive_V,Additive_Zr,Second_Phase_Ti4Mn2O,Second_Phase_CeO2,Second_Phase_TiCu,Second_Phase_Y2O3,Second_Phase_BCC,Lattice_Parameter_a_Å,Lattice_Parameter_c_Å,Max_H2_Uptake_wt_pct
166.96,303,5.0,2,30.50847457627118,15.25423728813559,49.15254237288135,0.0,3.389830508474576,0.0,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8976,8.0353,2.13
166.9,303,5.0,2,30.50847457627118,15.25423728813559,47.45762711864406,0.0,3.389830508474576,0.0,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.898,8.0359,2.11
166.88,303,5.0,2,30.50847457627118,15.25423728813559,45.76271186440678,0.0,3.389830508474576,0.0,5.084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.8973,8.0303,2.1
166.8,303,5.0,2,30.50847457627118,15.25423728813559,44.06779661016949,0.0,3.389830508474576,0.0,6.779661016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8983,8.0313,2.09
174.56,298,2.5,2,16.66666666666666,0.0,33.33333333333333,0.0,16.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9742,8.1628,1.9
172.64,298,3.8,2,11.03678929765886,0.0,33.44481605351171,0.0,11.03678929765886,33.44481605351171,0.0,11.03678929765886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.951,8.1347,1.5
164.2,274,5.0,2,33.28050713153724,0.0,9.508716323296355,0.0,3.328050713153724,34.86529318541997,19.01743264659271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8714,7.9902,1.65
164.8,274,5.0,2,34.26791277258567,0.0,9.345794392523365,0.0,3.426791277258567,34.26791277258567,18.69158878504673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8771,7.9997,1.79
165.0,274,5.0,2,35.22205206738131,0.0,9.18836140888208,0.0,3.522205206738131,33.6906584992343,18.37672281776416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8791,8.0037,1.71
165.1,274,5.0,2,36.14457831325301,0.0,9.036144578313253,0.0,3.614457831325301,33.13253012048193,18.07228915662651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8802,8.0023,1.68
164.8,274,5.0,2,34.26791277258567,0.0,9.345794392523365,0.0,3.426791277258567,34.26791277258567,18.69158878504673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8771,7.9997,1.79
165.9,274,5.0,2,34.26791277258567,0.0,9.345794392523365,0.0,3.426791277258567,40.49844236760125,12.46105919003115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8882,8.0168,1.92
166.6,274,5.0,2,34.26791277258567,0.0,9.345794392523365,0.0,3.426791277258567,46.72897196261682,6.230529595015577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8965,8.0255,2.0
163.41,243,10.0,2,33.33333333333333,0.0,26.66666666666667,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8626,7.9801,1.81
163.75,243,10.0,2,33.88429752066116,0.0,26.44628099173554,0.0,0.0,39.66942148760331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8659,7.9854,1.83
163.87,243,10.0,2,34.42622950819673,0.0,26.22950819672131,0.0,0.0,39.34426229508197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.867,7.9877,1.86
163.91,243,10.0,2,34.95934959349593,0.0,26.01626016260162,0.0,0.0,39.02439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8678,7.9874,1.88
164.05,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8693,7.9891,1.92
164.05,283,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8693,7.9891,1.83
165.32,283,10.0,2,33.87096774193549,0.0,25.80645161290322,0.0,1.612903225806452,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8818,8.0099,1.62
166.37,283,10.0,2,32.25806451612903,0.0,25.80645161290322,0.0,3.225806451612903,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8922,8.0269,1.75
167.61,283,10.0,2,30.64516129032258,0.0,25.80645161290322,0.0,4.838709677419355,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9043,8.0467,1.69
168.85,283,10.0,2,29.03225806451613,0.0,25.80645161290322,0.0,6.451612903225806,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9165,8.066,1.81
169.74,283,10.0,2,27.41935483870968,0.0,25.80645161290322,0.0,8.064516129032258,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.925,8.0803,1.85
164.05,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8693,7.9891,1.92
164.07,243,10.0,2,35.48387096774194,0.0,22.58064516129032,0.0,0.0,38.70967741935484,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8701,7.9877,1.75
164.47,243,10.0,2,35.48387096774194,0.0,19.35483870967742,0.0,0.0,38.70967741935484,0.0,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8746,7.9926,1.63
