Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Ni,Element_at_pct_Mo,Element_at_pct_Ce,Element_at_pct_Y,Predicted_Capacity_wt
37.4,29.3,11.1,4.0,2.0,8.1,0.0,1.0,1.0,2.0,4.0,0.0,0.0,3.0875505177328084
38.5,28.8,13.5,5.8,1.0,8.7,1.0,1.0,1.9,0.0,0.0,0.0,0.0,3.087338986668075
41.6,27.7,11.9,3.0,0.0,9.9,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.087073444316956
37.6,27.7,7.9,4.0,1.0,10.9,4.0,3.0,1.0,1.0,2.0,0.0,0.0,3.08668917387022
38.5,27.9,12.5,3.8,1.0,10.6,1.9,1.0,1.9,0.0,1.0,0.0,0.0,3.0861961533203224
39.4,28.3,10.1,4.0,3.0,11.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0859826141216997
39.8,27.6,9.2,4.1,0.0,12.2,1.0,0.0,4.1,0.0,2.0,0.0,0.0,3.085936042884013
39.0,26.7,9.5,3.8,2.9,8.6,1.0,2.9,0.0,4.8,1.0,0.0,0.0,3.085615944762853
37.1,28.9,10.3,4.1,3.1,11.3,0.0,0.0,4.1,0.0,1.0,0.0,0.0,3.085410589538569
39.2,28.4,7.8,4.9,2.0,9.8,2.0,4.9,1.0,0.0,0.0,0.0,0.0,3.085335931639145
39.0,27.0,8.0,4.0,4.0,9.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,3.084432511651672
39.0,28.0,8.0,6.0,1.0,8.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,3.084382096880784
38.2,30.4,6.9,3.9,2.9,9.8,1.0,0.0,1.0,2.9,2.9,0.0,0.0,3.084298559134551
38.2,26.5,14.7,3.9,0.0,11.8,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0842191094181177
37.4,26.3,8.1,4.0,12.1,9.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.083746322962715
39.8,29.6,7.1,3.1,2.0,8.2,3.1,1.0,3.1,3.1,0.0,0.0,0.0,3.0822156441815207
38.5,30.8,6.7,3.8,2.9,10.6,1.9,4.8,0.0,0.0,0.0,0.0,0.0,3.08208225679887
39.4,28.8,8.7,7.7,1.0,9.6,1.0,0.0,2.9,0.0,1.0,0.0,0.0,3.0820621145432012
41.0,31.0,9.0,5.0,0.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0819666137647888
37.4,28.3,8.1,3.0,8.1,8.1,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.081858661723852
38.4,26.3,12.1,6.1,7.1,8.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0818340921361824
39.8,29.6,7.1,3.1,5.1,12.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0817547780815726
37.4,27.3,10.1,3.0,2.0,14.1,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0815920879561305
38.6,30.7,6.9,5.9,2.0,12.9,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0811585187669563
38.8,26.5,8.2,3.1,1.0,8.2,4.1,3.1,4.1,0.0,3.1,0.0,0.0,3.0809938468030316
40.8,26.2,8.7,3.9,1.0,9.7,1.0,3.9,1.9,1.0,1.9,0.0,0.0,3.080983128541464
41.4,26.3,9.1,4.0,1.0,14.1,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0809084081993108
37.8,30.6,6.1,3.1,1.0,9.2,4.1,1.0,2.0,4.1,1.0,0.0,0.0,3.0807169622094643
40.0,27.0,9.0,4.0,4.0,8.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.080236283907954
39.0,30.0,6.0,3.0,1.0,15.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.079695611524447
38.1,26.7,9.5,3.8,1.9,8.6,4.8,1.9,1.9,1.9,1.0,0.0,0.0,3.0794381985313968
37.5,30.8,7.7,5.8,1.9,8.7,0.0,3.8,3.8,0.0,0.0,0.0,0.0,3.0790629766196527
39.0,26.7,8.6,3.8,1.9,11.4,2.9,1.0,2.9,1.0,1.0,0.0,0.0,3.078944844162986
40.2,28.4,7.8,7.8,2.0,8.8,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.078889374591966
38.1,27.6,8.6,5.7,2.9,10.5,1.0,0.0,1.9,1.0,2.9,0.0,0.0,3.0788090577877822
37.5,28.8,10.6,4.8,0.0,10.6,1.0,0.0,1.0,2.9,2.9,0.0,0.0,3.078568183367605
39.2,26.5,13.7,3.9,2.0,8.8,0.0,1.0,2.9,1.0,1.0,0.0,0.0,3.078416056103488
39.0,27.0,14.0,4.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0781355033308815
37.1,27.6,14.3,3.8,1.0,8.6,3.8,1.0,0.0,1.9,1.0,0.0,0.0,3.0780428166451204
37.4,26.3,8.1,3.0,11.1,8.1,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0779776363277205
40.4,28.3,8.1,6.1,3.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0778912247879187
37.1,27.6,8.6,4.8,0.0,10.5,3.8,0.0,0.0,3.8,3.8,0.0,0.0,3.077828131786872
38.5,29.8,10.6,7.7,0.0,8.7,1.9,1.0,0.0,1.0,1.0,0.0,0.0,3.077588019090289
38.4,26.3,8.1,6.1,1.0,13.1,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0774951587458217
39.0,31.0,7.0,3.0,0.0,11.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,3.077395765430044
37.1,27.6,10.5,4.8,0.0,8.6,3.8,0.0,0.0,3.8,3.8,0.0,0.0,3.0772993437273737
37.4,30.3,10.1,6.1,2.0,8.1,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0772751737840154
39.4,27.3,7.1,3.0,5.1,12.1,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0772621551177988
39.8,26.5,8.2,4.1,3.1,8.2,0.0,3.1,3.1,1.0,3.1,0.0,0.0,3.077232622992307
39.4,31.3,7.1,4.0,4.0,9.1,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0771529026447473
40.2,30.9,7.2,4.1,1.0,8.2,0.0,4.1,1.0,2.1,1.0,0.0,0.0,3.076494189760976
39.4,27.3,11.1,5.1,2.0,12.1,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0764685959613987
38.9,31.6,6.3,3.2,0.0,11.6,0.0,0.0,3.2,2.1,3.2,0.0,0.0,3.076057703127646
37.1,27.6,9.5,7.6,0.0,12.4,1.9,0.0,0.0,1.0,2.9,0.0,0.0,3.075835720977944
38.8,26.2,7.8,3.9,1.0,10.7,2.9,1.9,4.9,1.9,0.0,0.0,0.0,3.075532876480164
40.6,26.7,7.9,3.0,0.0,10.9,3.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0753661440560025
39.8,29.1,6.8,3.9,2.9,8.7,1.9,0.0,1.9,1.9,2.9,0.0,0.0,3.0753652714264708
39.2,27.5,7.8,7.8,1.0,9.8,0.0,0.0,1.0,1.0,4.9,0.0,0.0,3.074920510033684
39.4,27.3,8.1,5.1,8.1,10.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.074093969935322
41.7,26.0,9.4,3.1,0.0,14.6,1.0,0.0,0.0,1.0,3.1,0.0,0.0,3.0739309771463
39.4,29.3,6.1,6.1,0.0,13.1,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.073875389597361
40.0,31.0,6.0,5.0,3.0,9.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0738095058878123
39.8,29.6,10.2,8.2,0.0,8.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.073615684546685
38.4,29.3,7.1,4.0,2.0,8.1,2.0,1.0,4.0,4.0,0.0,0.0,0.0,3.07337131696642
39.0,28.6,7.6,3.8,0.0,11.4,3.8,3.8,0.0,0.0,1.9,0.0,0.0,3.0731537372131785
37.5,30.8,9.6,4.8,2.9,8.7,0.0,0.0,2.9,1.0,1.9,0.0,0.0,3.0729121671072126
40.0,28.6,6.7,3.8,1.0,10.5,1.9,0.0,2.9,2.9,1.9,0.0,0.0,3.0725253206877565
41.4,28.3,6.1,3.0,2.0,8.1,0.0,4.0,3.0,4.0,0.0,0.0,0.0,3.072475243753738
37.9,29.1,6.8,3.9,1.9,8.7,0.0,0.0,4.9,1.9,4.9,0.0,0.0,3.0723375647660465
41.2,25.8,8.2,3.1,3.1,13.4,1.0,1.0,0.0,3.1,0.0,0.0,0.0,3.072304512987382
38.5,28.1,9.4,4.2,1.0,8.3,2.1,0.0,4.2,4.2,0.0,0.0,0.0,3.071884827108542
38.5,28.1,10.4,8.3,0.0,13.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0717725077177795
37.6,25.7,14.9,3.0,3.0,9.9,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0714749200004428
37.3,29.4,7.8,4.9,2.9,11.8,1.0,0.0,3.9,1.0,0.0,0.0,0.0,3.0714353909341954
38.2,27.5,10.8,7.8,2.0,11.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0703357578120882
37.9,26.2,7.8,5.8,3.9,14.6,0.0,1.9,0.0,0.0,1.9,0.0,0.0,3.070245409412956
37.9,26.2,7.8,4.9,2.9,13.6,1.0,1.0,0.0,4.9,0.0,0.0,0.0,3.0701104458859345
41.0,31.0,6.0,4.0,0.0,8.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,3.07008649457525
37.9,27.4,10.5,5.3,3.2,8.4,3.2,1.1,3.2,0.0,0.0,0.0,0.0,3.070079177145271
37.0,31.0,10.0,3.0,4.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.069938927599954
39.6,28.7,6.9,7.9,2.0,8.9,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.069877065734917
38.8,31.1,6.8,5.8,1.9,10.7,1.0,1.9,0.0,1.0,1.0,0.0,0.0,3.069634004470437
39.2,26.5,7.8,5.9,2.0,9.8,1.0,0.0,2.9,2.0,2.9,0.0,0.0,3.069506733207917
38.1,26.8,10.3,5.2,2.1,12.4,0.0,1.0,0.0,1.0,3.1,0.0,0.0,3.0688786417372764
38.6,24.8,14.9,3.0,4.0,11.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0687599329963735
40.2,27.5,10.8,5.9,0.0,8.8,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.068433917142729
38.5,30.2,7.3,5.2,3.1,11.5,0.0,0.0,1.0,0.0,3.1,0.0,0.0,3.0682768703400045
40.0,28.0,6.0,3.0,0.0,13.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0682724317020234
39.4,26.3,6.1,4.0,3.0,13.1,2.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0678866987224787
41.0,26.0,14.0,3.0,1.0,8.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0678301065452476
38.8,26.5,10.2,5.1,1.0,12.2,3.1,0.0,1.0,1.0,1.0,0.0,0.0,3.067562374410333
37.1,30.9,7.2,3.1,3.1,10.3,3.1,0.0,3.1,1.0,1.0,0.0,0.0,3.0675507462223335
39.6,28.1,11.5,5.2,0.0,9.4,0.0,1.0,0.0,1.0,4.2,0.0,0.0,3.0675400763757072
41.1,26.3,8.4,4.2,2.1,8.4,3.2,2.1,2.1,0.0,2.1,0.0,0.0,3.067348902405219
41.8,24.5,8.2,4.1,7.1,10.2,0.0,0.0,0.0,3.1,1.0,0.0,0.0,3.067162211553039
37.1,28.9,11.3,10.3,0.0,8.2,3.1,0.0,0.0,1.0,0.0,0.0,0.0,3.0670874914302746
39.4,28.3,7.1,3.0,1.0,15.2,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0670622579960813
37.5,29.2,8.3,10.4,1.0,8.3,4.2,0.0,0.0,0.0,1.0,0.0,0.0,3.066830920145293
38.9,27.4,9.5,4.2,0.0,8.4,0.0,1.1,4.2,2.1,4.2,0.0,0.0,3.0668170731155486
40.8,25.5,13.3,3.1,2.0,10.2,0.0,1.0,0.0,0.0,4.1,0.0,0.0,3.066744500770478
38.0,25.0,8.0,3.0,4.0,12.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0667314113885555
39.0,29.0,7.0,8.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.066570881990472
41.1,27.4,8.4,4.2,0.0,8.4,1.1,3.2,3.2,0.0,3.2,0.0,0.0,3.0665658687363497
38.5,26.9,8.7,5.8,0.0,9.6,3.8,0.0,4.8,0.0,1.9,0.0,0.0,3.0663184068778344
37.3,27.5,10.8,5.9,2.0,9.8,2.0,0.0,2.9,2.0,0.0,0.0,0.0,3.0660033712382138
37.1,27.6,8.6,6.7,4.8,8.6,3.8,0.0,1.0,0.0,1.9,0.0,0.0,3.065746051198254
38.6,24.8,11.9,3.0,4.0,14.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0657421276367605
38.4,27.3,8.1,8.1,0.0,9.1,1.0,0.0,4.0,2.0,2.0,0.0,0.0,3.065441121229971
41.8,27.6,7.1,6.1,3.1,11.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0654123345851736
39.8,26.5,7.1,3.1,3.1,11.2,2.0,1.0,0.0,3.1,3.1,0.0,0.0,3.065376378345821
39.0,26.0,9.0,3.0,2.0,10.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,3.065209190657289
37.5,28.1,8.3,4.2,0.0,12.5,4.2,0.0,3.1,0.0,2.1,0.0,0.0,3.065109715126402
39.4,25.3,13.1,3.0,3.0,8.1,3.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0650696459361377
38.2,27.5,6.9,5.9,3.9,14.7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0650068937144304
37.4,29.3,8.1,7.1,1.0,9.1,1.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0645070167018873
